Id,Designator,Package,Quantity,Designation,Manufacturer ref,,
1,"C10,C9","resistor_0603, 1%",2,22Op,CC0603JRNPO9BN221,,
2,"R10,R5,R6,R9","resistor_0603, 1%",4,5.6K,CRCW06035K60FKEAC,,
3,J6,sj1-3523,1,Stereo jack 3.5,sj1-3523,,
4,"J4,J5,J2,J3",MJ_3536,4,Mono jack 3.5,MJ-3536,,
5,Y1,Crystal_HC49,1,12.288MHz,Abracon ABLS2-12.288MHZ-D4Y-T,,
6,J1,Header_2x07_P2.54mm_Vertical,1,Connector,215307-7,,
7,U2,Voltage regulator,1,ADP150AUJZ-3.3-R7,ADP150AUJZ-3.3-R7,,
8,"C17,C2,C3",Electrolytic cap,3,10uF,EEE-1EA100WR,,
9,"C7,C8",Electrolytic cap,2,220uF,EEEFTE221XAP,,
10,"C12,C13,C14,C15",Electrolytic cap,4,1u,EEE1HA010SR,,
11,"C1,C4,C5,C6,C11,C27,C19",Ceramic cap_0603,7,100n,C0603C104J3RAC7411,,
12,U1,SSOP-28,1,WM8731 DAC,WM8731SEDS/RV,,
13,"C16,C18",Ceramic cap_0603,2,18p,C0603C180K5RACAUTO,,
14,"R1,R2,R3,R4","resistor_0603, 1%",4,220R,CRCW0603220RFKEAC,,
15,"R7,R8,R11,R12","resistor_0603, 1%",4,47K,CRCW060347K0JNEAC,,
16,"R13,R14","resistor_0603, 1%",2,100R,CRCW0603100RFKEAC,,
17,,Spacer,2,See notes,,,
18,,Spacer,2,See notes,,,
